key,arabic,english,french,ar_source,en_source,fr_source,translation_status,use_count,first_used_in
No project data in this range,لا توجد بيانات للمشاريع في هذه الفترة,No project data in this range,Aucune donnée de projet dans cette plage,view,view,view,translated in all three,1,CrossBuy/Views/Project/Profitability.cshtml
No project tasks. Link tasks to this project to track labor.,لا توجد مهام مربوطة بالمشروع. اربط مهامًا بالمشروع لتتبّع العمالة.,No project tasks. Link tasks to this project to track labor.,Aucune tâche liée au projet. Liez des tâches au projet pour suivre la main-d'oeuvre.,view,view,view,translated in all three,1,CrossBuy/Views/Project/Labor.cshtml
No projects,لا توجد مشاريع,No projects,Aucun projet,view,view,view,translated in all three,1,CrossBuy/Views/Project/Projects.cshtml
No published shifts in this period,لا توجد مناوبات منشورة في هذه الفترة,No published shifts in this period,Aucun poste publié pour cette période,view,view,view,translated in all three,1,CrossBuy/Views/Roster/Mine.cshtml
No quick items for this branch yet. Add them in ,لا توجد أصناف سريعة لهذا الفرع بعد. أضِفها من,No quick items for this branch yet. Add them in,Aucun article rapide pour cette succursale pour le moment. Ajoutez-les dans,view,view,view,translated in all three,1,CrossBuy/Views/Pos/Preview.cshtml
No quick items for this branch.,لا توجد أصناف سريعة لهذا الفرع.,No quick items for this branch.,Aucun article rapide pour cette succursale.,view,view,view,translated in all three,1,CrossBuy/Views/PosApp/Terminal.cshtml
"No rack stock yet — use \""Initialize from defaults\"" or post located movements.","No rack stock yet — use \""Initialize from defaults\"" or post located movements.","No rack stock yet — use \""Initialize from defaults\"" or post located movements.","No rack stock yet — use \""Initialize from defaults\"" or post located movements.",fallback-to-key,fallback-to-key,fallback-to-key,MISSING arabic — key shown to user,1,CrossBuy/Views/Inventory/RackBalances.cshtml
No racks (optional),لا رفوف (اختياري),No racks (optional),Aucun rayon (optionnel),view,view,view,translated in all three,1,CrossBuy/Views/Inventory/WarehouseSections.cshtml
No recent activity,لا يوجد نشاط حديث,No recent activity,Aucune activité récente,view,view,view,translated in all three,1,CrossBuy/Views/Crm/OpportunityInsights.cshtml
No recent reports yet,لا توجد تقارير حديثة بعد,No recent reports yet,No recent reports yet,view,view,fallback-to-key,MISSING french — English key shown,1,CrossBuy/Views/Workspace/Index.cshtml
No recent sales,لا مبيعات حديثة,No recent sales,No recent sales,view,fallback-to-key,fallback-to-key,english falls back to key text,1,CrossBuy/Views/PosApp/Terminal.cshtml
No reconciliations,لا توجد تسويات,No reconciliations,Aucun rapprochement,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/Reconciliations.cshtml
No records this month,لا سجلات هذا الشهر,No records this month,Aucun enregistrement ce mois-ci,view,view,view,translated in all three,1,CrossBuy/Views/Admin/AttendanceEntry.cshtml
No report,لا يوجد تقرير,No report,Aucun rapport,view,view,view,translated in all three,1,CrossBuy/Views/Reports/Index.cshtml
No requests,لا توجد طلبات,No requests,Aucune demande,view,view,view,translated in all three,2,CrossBuy/Views/Admin/Index.cshtml
No requests awaiting your approval,لا توجد طلبات بانتظار اعتمادك,No requests awaiting your approval,Aucune demande en attente de votre approbation,view,view,view,translated in all three,1,CrossBuy/Views/People/Leaves.cshtml
No requests yet,لا توجد طلبات بعد,No requests yet,Aucune demande pour l'instant,view,view,view,translated in all three,1,CrossBuy/Views/People/Requests.cshtml
No result found,لا توجد نتائج,No result found,Aucun résultat trouvé,view,view,view,translated in all three,1,CrossBuy/Views/Shared/_LayoutManufacturing.cshtml
No results,لا نتائج,No results,No results,view,fallback-to-key,fallback-to-key,english falls back to key text,1,CrossBuy/Views/Chat/Index.cshtml
No results.,لا نتائج.,No results.,Aucun résultat.,view,view,view,translated in all three,2,CrossBuy/Views/Pos/Modifiers.cshtml
No returns,لا توجد إقرارات,No returns,Aucune déclaration,view,view,view,translated in all three,3,CrossBuy/Views/Accounting/PurchaseReturns.cshtml
No revenue,لا توجد إيرادات,No revenue,Aucun produit,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/IncomeStatement.cshtml
No roles assigned yet.,لا أدوار معيّنة بعد.,No roles assigned yet.,Aucun rôle affecté pour le moment.,view,view,view,translated in all three,1,CrossBuy/Views/Pos/CashierRoles.cshtml
No roles assigned — CRM open to all,لا توجد أدوار معيّنة — CRM مفتوح للجميع,No roles assigned — CRM open to all,Aucun rôle attribué — CRM ouvert à tous,view,view,view,translated in all three,1,CrossBuy/Views/Crm/CrmRoles.cshtml
No roles assigned — accounting is open until the first role is set.,لا توجد أدوار معيّنة — المحاسبة مفتوحة للجميع حتى تُعيّن أول دور.,No roles assigned — accounting is open until the first role is set.,Aucun rôle attribué — la comptabilité est ouverte jusqu'à ce que le premier rôle soit défini.,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/AccountingRoles.cshtml
No roles assigned — system is open until the first role is set.,لا توجد أدوار معيّنة — النظام مفتوح للجميع حتى تُعيّن أول دور.,No roles assigned — system is open until the first role is set.,Aucun rôle attribué — le système est ouvert jusqu'à la définition du premier rôle.,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/InventoryRoles.cshtml
No roster period yet,لا توجد فترة جدولة بعد,No roster period yet,Aucune période de planning pour le moment,view,view,view,translated in all three,1,CrossBuy/Views/Roster/Index.cshtml
No rounding,بلا تقريب,No rounding,Aucun arrondi,shared,fallback-to-key,shared,english falls back to key text,1,CrossBuy/Views/Inventory/BulkPriceChange.cshtml
No routings for items produced in this period.,لا توجد مسارات تصنيع للأصناف المنتَجة في هذه الفترة.,No routings for items produced in this period.,Aucune gamme pour les articles produits au cours de cette période.,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/ManufReports.cshtml
No rules,لا توجد قواعد,No rules,Aucune règle,view,view,view,translated in all three,1,CrossBuy/Views/Crm/AutomationRules.cshtml
No rules yet,لا توجد قواعد بعد,No rules yet,Aucune règle pour le moment,view,view,view,translated in all three,1,CrossBuy/Views/Crm/ScoringRules.cshtml
No rules yet — add an item above,لا توجد قواعد بعد — أضف صنفًا أعلاه,No rules yet — add an item above,Aucune règle pour le moment — ajoutez un article ci-dessus,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/PriceListEditor.cshtml
No run recorded.,لا يوجد تشغيل مسجّل.,No run recorded.,Aucune exécution enregistrée.,view,view,view,translated in all three,1,CrossBuy/Views/Reports/Viewer.cshtml
No runs yet,لا توجد عمليات فحص بعد,No runs yet,Aucune exécution pour l'instant,view,view,view,translated in all three,2,CrossBuy/Views/Currency/Revaluation.cshtml
No salary policies defined.,لا توجد سياسات رواتب معرّفة.,No salary policies defined.,Aucune politique salariale définie.,view,view,view,translated in all three,1,CrossBuy/Views/Admin/EmployeeData.cshtml
No sales yet,لا توجد مبيعات بعد,No sales yet,Aucune vente pour le moment,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/CustomerAnalytics.cshtml
No saved layout yet.,لا يوجد تنسيق محفوظ بعد.,No saved layout yet.,Aucune mise en page enregistrée.,view,view,view,translated in all three,1,CrossBuy/Views/Reports/Index.cshtml
No schedule,بلا جدول,No schedule,Aucun programme,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/FixedAssetDetail.cshtml
No sections defined for this warehouse. Add them first from Warehouse sections/racks.,لا توجد سيكشنات لهذا المخزن. أضِفها أولًا من «سيكشنات/رفوف المخزن».,No sections defined for this warehouse. Add them first from Warehouse sections/racks.,Aucune section définie pour cet entrepôt. Ajoutez-les d'abord depuis Sections/rayons de l'entrepôt.,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/ItemLocations.cshtml
No sections yet — add one from the left.,لا توجد سيكشنات بعد — أضِف واحدًا من اليمين.,No sections yet — add one from the left.,Aucune section pour l'instant — ajoutez-en une depuis la gauche.,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/WarehouseSections.cshtml
No serials,لا توجد أرقام تسلسلية,No serials,Aucun numéro de série,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/Serials.cshtml
No settlements yet.,لا توجد تسويات بعد.,No settlements yet.,Aucun solde pour l'instant.,view,view,view,translated in all three,1,CrossBuy/Views/Admin/FinalSettlement.cshtml
No shortage was recorded in this period.,لم يُسجّل أي نقص خلال هذه الفترة.,No shortage was recorded in this period.,Aucune pénurie n’a été enregistrée sur cette période.,view,view,view,translated in all three,1,CrossBuy/Views/RestaurantIntelligence/Index.cshtml
No shortages,لا توجد نواقص,No shortages,Aucune pénurie,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/ReorderReport.cshtml
No slow-moving items for this criterion,لا توجد أصناف راكدة بهذا المعيار,No slow-moving items for this criterion,Aucun article à rotation lente pour ce critère,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/StagnantReport.cshtml
No stations yet.,لا محطات بعد.,No stations yet.,Aucun poste pour le moment.,view,view,view,translated in all three,1,CrossBuy/Views/Pos/Areas.cshtml
No stock in this warehouse.,لا يوجد رصيد في هذا المخزن.,No stock in this warehouse.,Aucun stock dans ce dépôt.,view,view,view,translated in all three,1,CrossBuy/Views/Project/MaterialIssues.cshtml
No stock lines to match,لا توجد بنود مخزنية للمطابقة,No stock lines to match,Aucune ligne de stock à rapprocher,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/PoMatch.cshtml
"No stocked items were available to analyse for this company, so no conclusion can be drawn about inventory risk.",لا توجد أصناف مخزنية متاحة للتحليل لهذه الشركة، لذلك لا يمكن استخلاص أي نتيجة بشأن مخاطر المخزون.,"No stocked items were available to analyse for this company, so no conclusion can be drawn about inventory risk.",Aucun article en stock n'était disponible pour cette société ; aucune conclusion ne peut être tirée sur le risque de stock.,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/RiskInsights.cshtml
"No stocked items were available to analyse for this company, so no conclusion can be drawn.",لا توجد أصناف مخزنية متاحة للتحليل لهذه الشركة، لذلك لا يمكن استخلاص أي نتيجة.,"No stocked items were available to analyse for this company, so no conclusion can be drawn.",Aucun article en stock n'était disponible pour cette société ; aucune conclusion ne peut être tirée.,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/AiInsights.cshtml
No structure available.,لا يوجد هيكل متاح.,No structure available.,Aucune structure disponible.,view,view,view,translated in all three,1,CrossBuy/Views/Admin/EmployeeData.cshtml
No subcontracts yet,لا توجد عقود باطن بعد,No subcontracts yet,Aucune sous-traitance,view,view,view,translated in all three,1,CrossBuy/Views/Project/Subcontracts.cshtml
No subject,بدون موضوع,No subject,Sans objet,view,fallback-to-key,view,english falls back to key text,1,CrossBuy/Views/Comm/Index.cshtml
No tab,بدون تبويب,No tab,Aucun onglet,view,view,view,translated in all three,1,CrossBuy/Views/Pos/QuickMenu.cshtml
No tables for this branch — add them in «Floor plan».,لا توجد طاولات لهذا الفرع — أضِفها من «مخطط الطاولات».,No tables for this branch — add them in «Floor plan».,Aucune table pour cette succursale — ajoutez-les dans « Plan de salle ».,view,view,view,translated in all three,1,CrossBuy/Views/Pos/Reservations.cshtml
No tables in this area.,لا طاولات في هذه الصالة.,No tables in this area.,Aucune table dans cette salle.,view,view,view,translated in all three,1,CrossBuy/Views/Pos/Reservations.cshtml
No tables in this hall,لا توجد طاولات في هذه الصالة,No tables in this hall,Aucune table dans cette salle,view,view,view,translated in all three,1,CrossBuy/Views/PosApp/Terminal.cshtml
No tables yet.,لا طاولات بعد.,No tables yet.,Aucune table pour le moment.,view,view,view,translated in all three,1,CrossBuy/Views/Pos/FloorPlan.cshtml
No tax codes,لا توجد أكواد ضرائب,No tax codes,Aucun code de taxe,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/TaxCodes.cshtml
No templates,لا توجد نماذج,No templates,Aucun modèle,view,view,view,translated in all three,1,CrossBuy/Views/Admin/AppraisalTemplates.cshtml
No terminals for this branch,لا توجد أجهزة لهذا الفرع,No terminals for this branch,Aucun terminal pour cette succursale,view,view,view,translated in all three,1,CrossBuy/Views/PosApp/Start.cshtml
No terminals yet.,لا أجهزة بعد.,No terminals yet.,Aucun terminal pour le moment.,view,view,view,translated in all three,1,CrossBuy/Views/Pos/Terminals.cshtml
No tickets,لا توجد تذاكر,No tickets,Aucun ticket,view,view,view,translated in all three,1,CrossBuy/Views/Crm/Tickets.cshtml
No today/upcoming reservations.,لا حجوزات اليوم أو قادمة.,No today/upcoming reservations.,Aucune réservation aujourd'hui/à venir.,view,view,view,translated in all three,1,CrossBuy/Views/Pos/Reservations.cshtml
No trainings,لا توجد تدريبات,No trainings,Aucune formation,view,view,view,translated in all three,1,CrossBuy/Views/People/MyTrainings.cshtml
No transactions up to this date,لا توجد حركات حتى هذا التاريخ,No transactions up to this date,Aucune transaction jusqu'à cette date,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/Reconcile.cshtml
No transfers,لا توجد تحويلات,No transfers,Aucun transfert,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/StockTransfers.cshtml
No units,لا توجد وحدات,No units,Aucune unité,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/Units.cshtml
No upcoming holidays,لا عطلات قادمة,No upcoming holidays,No upcoming holidays,view,fallback-to-key,fallback-to-key,english falls back to key text,1,CrossBuy/Views/Admin/Index.cshtml
No users found,لا يوجد مستخدمون,No users found,Aucun utilisateur trouvé,view,view,view,translated in all three,1,CrossBuy/Views/Shared/_LayoutManufacturing.cshtml
No variation orders yet,لا توجد أوامر تغيير بعد,No variation orders yet,Aucun ordre de variation,view,view,view,translated in all three,1,CrossBuy/Views/Project/VariationOrders.cshtml
No warehouses,لا توجد مخازن,No warehouses,Aucun entrepôt,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/Warehouses.cshtml
No work centers yet.,لا توجد مراكز عمل بعد.,No work centers yet.,Aucun poste de charge pour le moment.,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/WorkCenters.cshtml
No work centers yet. Add one first from the Work centers page.,لا توجد مراكز عمل بعد. أضِف مركز عمل أولًا من قائمة «مراكز العمل».,No work centers yet. Add one first from the Work centers page.,Aucun poste de charge pour le moment. Ajoutez-en un d'abord depuis la page Postes de charge.,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/Routing.cshtml
No work orders,لا توجد أوامر تشغيل,No work orders,Aucun ordre de fabrication,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/WorkOrders.cshtml
No work orders yet,لا توجد أوامر تشغيل بعد,No work orders yet,Aucun ordre de travail,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/ManufDashboard.cshtml
No write-off documents,لا توجد مستندات إعدام,No write-off documents,Aucun document de radiation,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/WriteOffs.cshtml
No zones yet.,لا مناطق بعد.,No zones yet.,Aucune zone pour le moment.,view,view,view,translated in all three,1,CrossBuy/Views/Pos/DeliveryZones.cshtml
No-show,لم يحضر,No-show,Absence,view,view,view,translated in all three,1,CrossBuy/Views/Pos/Reservations.cshtml
No.,الرقم,No.,N°,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/LandedCosts.cshtml
NoData,لا توجد بيانات,No data available,Aucune donnée disponible,shared,shared,shared,translated in all three,8,CrossBuy/Views/Accounting/CustomerAnalytics.cshtml
NoLeavesAdded,لا توجد إجازات مضافة,No Leaves Added,Aucun congé ajouté,shared,shared,shared,translated in all three,1,CrossBuy/Views/Admin/Polices.cshtml
Nobody is on this project yet.,Nobody is on this project yet.,Nobody is on this project yet.,Nobody is on this project yet.,fallback-to-key,fallback-to-key,fallback-to-key,MISSING arabic — key shown to user,1,CrossBuy/Views/Project/Team.cshtml
Nobody is scheduled in this period yet.,لم تتم جدولة أي موظف في هذه الفترة بعد.,Nobody is scheduled in this period yet.,Personne n'est encore planifié sur cette période.,view,view,view,translated in all three,1,CrossBuy/Views/Roster/Index.cshtml
Non-stockable,مستهلك,Non-stockable,Non stockable,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/_ItemRows.cshtml
None,بدون,None,Aucun,view,view,view,translated in all three,6,CrossBuy/Views/Accounting/NewPurchaseInvoice.cshtml
Normal,عادية,Normal,Normale,view,view,view,translated in all three,6,CrossBuy/Views/Announcements/Index.cshtml
Not archivable,غير قابل للأرشفة,Not archivable,Non archivable,view,view,view,translated in all three,1,CrossBuy/Views/Reports/Viewer.cshtml
Not attached,غير مرفق,Not attached,Non joint,view,view,view,translated in all three,1,CrossBuy/Views/Admin/ApplicationDetail.cshtml
Not balanced notice detail,يوجد فرق بين إجمالي المدين وإجمالي الدائن يجب مراجعته وتصحيحه قبل اعتماد الفترة.,There is a difference between total debit and total credit that must be reviewed and corrected before closing the period.,Il existe un écart entre le total du débit et le total du crédit qui doit être vérifié et corrigé avant la clôture.,shared,shared,shared,translated in all three,1,CrossBuy/Views/Accounting/TrialBalance.cshtml
Not configured (deferred),غير مُفعَّل (مؤجَّل),Not configured (deferred),Non configuré (différé),view,view,view,translated in all three,1,CrossBuy/Views/Accounting/EtaStatus.cshtml
Not found?,غير موجود؟,Not found?,Introuvable ?,view,view,view,translated in all three,1,CrossBuy/Views/Pos/Reservations.cshtml
Not generated,لم يتم الإنشاء,Not generated,Non généré,view,view,view,translated in all three,4,CrossBuy/Views/Accounting/AiInsights.cshtml
Not held,غير متوفر,Not held,Non détenu,view,view,view,translated in all three,1,CrossBuy/Views/Documents/Workspace.cshtml
Not posted,غير مُرحّلة,Not posted,Non comptabilisé,view,view,view,translated in all three,1,CrossBuy/Views/Project/Labor.cshtml
Not ready,Not ready,Not ready,Not ready,fallback-to-key,fallback-to-key,fallback-to-key,MISSING arabic — key shown to user,1,CrossBuy/Views/ProjectCloseout/Index.cshtml
Not ready yet,لم يجهز بعد,Not ready yet,Pas encore prête,view,view,view,translated in all three,1,CrossBuy/Views/PosApp/Delivery.cshtml
Not ready — requirements outstanding,غير جاهز — متطلبات غير مكتملة,Not ready — requirements outstanding,Non prêt — exigences en attente,view,view,view,translated in all three,1,CrossBuy/Views/EmployeeOnboarding/Index.cshtml
Not received yet — three-way match applies once a goods receipt is posted.,لم يُستلَم بعد — المطابقة الثلاثية تنطبق بعد ترحيل إذن استلام.,Not received yet — three-way match applies once a goods receipt is posted.,Pas encore reçu — le rapprochement à trois voies s'applique une fois qu'une réception de marchandises est comptabilisée.,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/PoMatch.cshtml
Not required,غير مطلوبة,Not required,Non requis,view,view,view,translated in all three,2,CrossBuy/Views/Accounting/ChartOfAccounts.cshtml
Not sent,غير مُرسلة,Not sent,Non envoyée,view,view,view,translated in all three,2,CrossBuy/Views/Accounting/EtaStatus.cshtml
NotRequired,غير مطلوب,Not Required,Non requis,shared,shared,shared,translated in all three,1,CrossBuy/Views/Admin/Polices.cshtml
Note,ملاحظة,Note,Remarque,view,view,view,translated in all three,6,CrossBuy/Views/Accounting/JournalEntry.cshtml
Note (optional),ملاحظة (اختياري),Note (optional),Note (facultatif),view,view,view,translated in all three,1,CrossBuy/Views/People/Leaves.cshtml
Note No,رقم الإشعار,Note No,N° d'avoir,view,view,view,translated in all three,2,CrossBuy/Views/Accounting/PurchaseReturns.cshtml
Notes,ملاحظات,Notes,Remarques,shared,shared,shared,translated in all three,49,CrossBuy/Views/Accounting/CustomerStatement.cshtml
Nothing archived.,لا يوجد شيء مؤرشف.,Nothing archived.,Rien d'archivé.,view,view,view,translated in all three,2,CrossBuy/Views/Reports/Index.cshtml
Nothing awaiting your approval.,لا شيء بانتظار موافقتك.,Nothing awaiting your approval.,Nothing awaiting your approval.,view,fallback-to-key,fallback-to-key,english falls back to key text,1,CrossBuy/Views/Approvals/Index.cshtml
Nothing below reorder 👍 — set thresholds from Reorder settings.,"لا توجد أصناف تحت حد إعادة الطلب 👍 — اضبط الحدود من ""حدود إعادة الطلب"".",Nothing below reorder 👍 — set thresholds from Reorder settings.,Rien sous le seuil de réapprovisionnement 👍 — définissez les seuils depuis les Paramètres de réapprovisionnement.,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/Planning.cshtml
"Nothing changed, so no new version was created.",لم يتغيّر شيء، فلم تُنشأ نسخة جديدة.,"Nothing changed, so no new version was created.","Rien n'a changé, aucune version n'a été créée.",view,view,view,translated in all three,1,CrossBuy/Views/Reports/Viewer.cshtml
Nothing expired or expiring.,لا توجد عناصر منتهية أو قاربت على الانتهاء.,Nothing expired or expiring.,Rien d'expiré ni d'expirant.,view,view,view,translated in all three,1,CrossBuy/Views/Admin/DocExpiryAlerts.cshtml
Nothing expiring soon,لا شيء قرب الانتهاء,Nothing expiring soon,Nothing expiring soon,view,fallback-to-key,fallback-to-key,english falls back to key text,1,CrossBuy/Views/Admin/Index.cshtml
Nothing here is resolved automatically. Each conflict names the rows involved so it can be fixed deliberately.,لا يُحل أي تعارض تلقائيًا. كل تعارض يذكر السجلات المعنية ليُعالج بشكل مقصود.,Nothing here is resolved automatically. Each conflict names the rows involved so it can be fixed deliberately.,Aucun conflit n'est résolu automatiquement. Chaque conflit nomme les lignes concernées afin d'être corrigé délibérément.,view,view,view,translated in all three,1,CrossBuy/Views/Roster/Index.cshtml
Nothing in the next few days,لا يوجد شيء في الأيام القليلة القادمة,Nothing in the next few days,Nothing in the next few days,view,view,fallback-to-key,MISSING french — English key shown,1,CrossBuy/Views/Workspace/Index.cshtml
Nothing is at or below its reorder point.,لا يوجد صنف بلغ حد إعادة الطلب أو نزل دونه.,Nothing is at or below its reorder point.,Aucun article n’a atteint son point de commande.,view,view,view,translated in all three,1,CrossBuy/Views/RestaurantIntelligence/Index.cshtml
Nothing is expired or expiring within the next 60 days.,لا يوجد منتهٍ أو قارب على الانتهاء خلال الـ 60 يومًا القادمة.,Nothing is expired or expiring within the next 60 days.,Nothing is expired or expiring within the next 60 days.,view,fallback-to-key,fallback-to-key,english falls back to key text,1,CrossBuy/Views/Admin/HrDocuments.cshtml
Nothing is queried until you do.,لا يتم استعلام أي بيانات قبل ذلك.,Nothing is queried until you do.,Aucune requête n'est faite avant.,view,view,view,translated in all three,1,CrossBuy/Views/Reports/Viewer.cshtml
Nothing needs renewing.,لا يوجد ما يحتاج تجديداً.,Nothing needs renewing.,Rien à renouveler.,view,view,view,translated in all three,1,CrossBuy/Views/Documents/Workspace.cshtml
Nothing needs your attention right now.,لا يوجد ما يتطلب انتباهك الآن.,Nothing needs your attention right now.,Nothing needs your attention right now.,view,view,fallback-to-key,MISSING french — English key shown,1,CrossBuy/Views/Workspace/Index.cshtml
Nothing posted to the ledger,لم يُرحَّل شيء إلى الدفتر,Nothing posted to the ledger,Rien n'a été comptabilisé,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/MovementSummary.cshtml
"Nothing to carry (no carry-over limit in policies, or no remaining balance).",لا توجد أرصدة قابلة للترحيل (لا سقف ترحيل في السياسات أو لا رصيد متبقٍّ).,"Nothing to carry (no carry-over limit in policies, or no remaining balance).","Rien à reporter (aucune limite de report dans les politiques, ou aucun solde restant).",view,view,view,translated in all three,1,CrossBuy/Views/Admin/LeaveCarryOver.cshtml
Nothing was consumed in this period.,لم يُستهلَك شيء خلال هذه الفترة.,Nothing was consumed in this period.,Rien n’a été consommé sur cette période.,view,view,view,translated in all three,1,CrossBuy/Views/RestaurantIntelligence/Index.cshtml
Notice days,أيام الإشعار,Notice days,Jours de préavis,view,view,view,translated in all three,1,CrossBuy/Views/Admin/EmployeeData.cshtml
Notice period before leave,مدة الإشعار قبل الإجازة,Notice period before leave,Délai de préavis avant le congé,view,view,view,translated in all three,1,CrossBuy/Views/Admin/PolicesData.cshtml
NoticePeriod,فترة الإخطار (أيام),Notice Period (Days),Préavis (jours),shared,shared,shared,translated in all three,1,CrossBuy/Views/Admin/Polices.cshtml
NoticePeriodDays,فترة الإخطار المطلوبة,Notice Period Days,Jours de préavis,shared,shared,shared,translated in all three,1,CrossBuy/Views/Admin/PolicesData.cshtml
Notification preferences,تفضيلات الإشعارات,Notification preferences,Notification preferences,view,fallback-to-key,fallback-to-key,english falls back to key text,1,CrossBuy/Views/Notifications/Index.cshtml
Notifications,الإشعارات,Notifications,Notifications,view,view,shared,translated in all three,8,CrossBuy/Views/Notifications/Index.cshtml
Notify body,نص الإشعار,Notify body,Corps de la notification,view,view,view,translated in all three,1,CrossBuy/Views/Crm/AutomationRules.cshtml
Notify each affected employee?,إرسال تنبيه لكل موظف متأثر؟,Notify each affected employee?,Notifier chaque employé concerné ?,view,view,view,translated in all three,1,CrossBuy/Views/Admin/DocExpiryAlerts.cshtml
Notify owner,إشعار المالك,Notify owner,Notifier le propriétaire,view,view,view,translated in all three,1,CrossBuy/Views/Crm/AutomationRules.cshtml
Notify title,عنوان الإشعار,Notify title,Titre de la notification,view,view,view,translated in all three,1,CrossBuy/Views/Crm/AutomationRules.cshtml
Nov,نوفمبر,Nov,Nov,view,view,view,translated in all three,3,CrossBuy/Views/Accounting/Payroll.cshtml
November,نوفمبر,November,Novembre,view,view,view,translated in all three,2,CrossBuy/Views/People/Attendance.cshtml
Now,الآن,Now,Now,view,view,fallback-to-key,MISSING french — English key shown,1,CrossBuy/Views/Workspace/Index.cshtml
Number,رقم,Number,Numéro,shared,shared,shared,translated in all three,4,CrossBuy/Views/Accounting/FixedAssetDetail.cshtml
OH,أوفرهيد,OH,Frais généraux,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/ManufReports.cshtml
OK,سليم,OK,OK,view,view,view,translated in all three,4,CrossBuy/Views/Admin/EmployeeData.cshtml
OT,إضافي,OT,HS,view,view,view,translated in all three,1,CrossBuy/Views/Admin/AttendanceEntry.cshtml
OT min,دقائق الإضافي,OT min,Minutes HS,view,view,view,translated in all three,1,CrossBuy/Views/Admin/Attendance.cshtml
Observations to watch,أرقام للمتابعة,Observations to watch,Valeurs à surveiller,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/IntegrityReconciliation.cshtml
Occupied,مشغولة,Occupied,Occupée,view,view,view,translated in all three,2,CrossBuy/Views/Pos/Reservations.cshtml
Oct,أكتوبر,Oct,Oct,view,view,view,translated in all three,3,CrossBuy/Views/Accounting/Payroll.cshtml
October,أكتوبر,October,Octobre,view,view,view,translated in all three,2,CrossBuy/Views/People/Attendance.cshtml
Off,خصم,Off,Off,view,fallback-to-key,fallback-to-key,english falls back to key text,7,CrossBuy/Views/Crm/ScoringRules.cshtml
Off (no check),معطّل (بدون فحص),Off (no check),Désactivé (aucune vérification),view,view,view,translated in all three,1,CrossBuy/Views/Inventory/Settings.cshtml
Official,رسمية,Official,Official,view,fallback-to-key,fallback-to-key,english falls back to key text,1,CrossBuy/Views/Admin/Index.cshtml
Official holidays,العطلات الرسمية,Official holidays,Jours fériés officiels,view,shared,shared,translated in all three,2,CrossBuy/Views/Admin/HolidaysList.cshtml
"Official holidays are automatically excluded from leave day counts (not deducted from balance) and from absence. Tick \""recurring\"" for fixed annual feasts.","Official holidays are automatically excluded from leave day counts (not deducted from balance) and from absence. Tick \""recurring\"" for fixed annual feasts.","Official holidays are automatically excluded from leave day counts (not deducted from balance) and from absence. Tick \""recurring\"" for fixed annual feasts.","Official holidays are automatically excluded from leave day counts (not deducted from balance) and from absence. Tick \""recurring\"" for fixed annual feasts.",fallback-to-key,fallback-to-key,fallback-to-key,MISSING arabic — key shown to user,1,CrossBuy/Views/Admin/HolidaysList.cshtml
OfficialWorkingHours,دوام رسمي,Official Working Hours,Heures de travail officielles,shared,shared,shared,translated in all three,1,CrossBuy/Views/Admin/Polices.cshtml
Offline,غير متصل,Offline,Offline,view,fallback-to-key,fallback-to-key,english falls back to key text,1,CrossBuy/Views/Chat/Index.cshtml
Ok,حســـــــنا,Ok,Ok,shared,shared,shared,translated in all three,2,CrossBuy/Views/Service/BranchDetails.cshtml
Old,القديم,Old,Ancien,shared,fallback-to-key,shared,english falls back to key text,1,CrossBuy/Views/Inventory/BulkPriceChange.cshtml
Old price,السعر القديم,Old price,Old price,view,fallback-to-key,fallback-to-key,english falls back to key text,2,CrossBuy/Views/Inventory/ItemForm.cshtml
